date_id,dt,month,quarter,year
20240101,2024-01-01,1,1,2024
20240102,2024-01-02,1,1,2024
20240103,2024-01-03,1,1,2024
20240104,2024-01-04,1,1,2024
20240105,2024-01-05,1,1,2024
20240106,2024-01-06,1,1,2024
20240107,2024-01-07,1,1,2024
20240108,2024-01-08,1,1,2024
20240109,2024-01-09,1,1,2024
20240110,2024-01-10,1,1,2024
20240111,2024-01-11,1,1,2024
20240112,2024-01-12,1,1,2024
20240113,2024-01-13,1,1,2024
20240114,2024-01-14,1,1,2024
20240115,2024-01-15,1,1,2024
20240116,2024-01-16,1,1,2024
20240117,2024-01-17,1,1,2024
20240118,2024-01-18,1,1,2024
20240119,2024-01-19,1,1,2024
20240120,2024-01-20,1,1,2024
20240121,2024-01-21,1,1,2024
20240122,2024-01-22,1,1,2024
20240123,2024-01-23,1,1,2024
20240124,2024-01-24,1,1,2024
20240125,2024-01-25,1,1,2024
20240126,2024-01-26,1,1,2024
20240127,2024-01-27,1,1,2024
20240128,2024-01-28,1,1,2024
20240129,2024-01-29,1,1,2024
20240130,2024-01-30,1,1,2024
20240131,2024-01-31,1,1,2024
20240201,2024-02-01,2,1,2024
20240202,2024-02-02,2,1,2024
20240203,2024-02-03,2,1,2024
20240204,2024-02-04,2,1,2024
20240205,2024-02-05,2,1,2024
20240206,2024-02-06,2,1,2024
20240207,2024-02-07,2,1,2024
20240208,2024-02-08,2,1,2024
20240209,2024-02-09,2,1,2024
20240210,2024-02-10,2,1,2024
20240211,2024-02-11,2,1,2024
20240212,2024-02-12,2,1,2024
20240213,2024-02-13,2,1,2024
20240214,2024-02-14,2,1,2024
20240215,2024-02-15,2,1,2024
20240216,2024-02-16,2,1,2024
20240217,2024-02-17,2,1,2024
20240218,2024-02-18,2,1,2024
20240219,2024-02-19,2,1,2024
20240220,2024-02-20,2,1,2024
20240221,2024-02-21,2,1,2024
20240222,2024-02-22,2,1,2024
20240223,2024-02-23,2,1,2024
20240224,2024-02-24,2,1,2024
20240225,2024-02-25,2,1,2024
20240226,2024-02-26,2,1,2024
20240227,2024-02-27,2,1,2024
20240228,2024-02-28,2,1,2024
20240229,2024-02-29,2,1,2024
20240301,2024-03-01,3,1,2024
20240302,2024-03-02,3,1,2024
20240303,2024-03-03,3,1,2024
20240304,2024-03-04,3,1,2024
20240305,2024-03-05,3,1,2024
20240306,2024-03-06,3,1,2024
20240307,2024-03-07,3,1,2024
20240308,2024-03-08,3,1,2024
20240309,2024-03-09,3,1,2024
20240310,2024-03-10,3,1,2024
20240311,2024-03-11,3,1,2024
20240312,2024-03-12,3,1,2024
20240313,2024-03-13,3,1,2024
20240314,2024-03-14,3,1,2024
20240315,2024-03-15,3,1,2024
20240316,2024-03-16,3,1,2024
20240317,2024-03-17,3,1,2024
20240318,2024-03-18,3,1,2024
20240319,2024-03-19,3,1,2024
20240320,2024-03-20,3,1,2024
20240321,2024-03-21,3,1,2024
20240322,2024-03-22,3,1,2024
20240323,2024-03-23,3,1,2024
20240324,2024-03-24,3,1,2024
20240325,2024-03-25,3,1,2024
20240326,2024-03-26,3,1,2024
20240327,2024-03-27,3,1,2024
20240328,2024-03-28,3,1,2024
20240329,2024-03-29,3,1,2024
20240330,2024-03-30,3,1,2024
20240331,2024-03-31,3,1,2024
20240401,2024-04-01,4,2,2024
20240402,2024-04-02,4,2,2024
20240403,2024-04-03,4,2,2024
20240404,2024-04-04,4,2,2024
20240405,2024-04-05,4,2,2024
20240406,2024-04-06,4,2,2024
20240407,2024-04-07,4,2,2024
20240408,2024-04-08,4,2,2024
20240409,2024-04-09,4,2,2024
20240410,2024-04-10,4,2,2024
20240411,2024-04-11,4,2,2024
20240412,2024-04-12,4,2,2024
20240413,2024-04-13,4,2,2024
20240414,2024-04-14,4,2,2024
20240415,2024-04-15,4,2,2024
20240416,2024-04-16,4,2,2024
